cohesion_kpa,friction_deg,slope_angle_deg,pore_pressure_ratio,density_kg_m3,charge_weight_kg,distance_m,burden_m,spacing_m,joint_spacing_m,joint_dip_deg,joint_persistence_pct,displacement_m,ppv_mm_s,damage_zone_m,fos_static,fos_method_a,fos_method_b
547.3,37.225,42.1,0.118975133020526,2672.08023374566,2627.99619799241,9.935,6.908,2.008,2.54623230623259,62.3,99.82,0.050996,325.47,0.382,2.49,0.794,0.747
716.0,34.195,65.89,0.25231430448262,2033.94888553725,3436.73590051966,32.79,2.774,8.52,0.595951825299065,81.1,77.02,0.007673,214.8,0.053,3.0,1.34,1.141
548.7,31.255,47.14,0.386189064879817,2751.93983212361,2098.05587596754,13.855,2.768,4.576,2.00854135679979,48.4,69.52,0.038662,375.68,0.261,2.044,0.876,0.658
148.3,31.06,63.28,0.212952844821353,2611.7994103989,2604.96473483547,12.77,5.324,3.28,4.724153316947,36.15,80.68,0.127741,320.1,0.896,0.839,0.5,0.5
651.599999999999,28.12,54.82,0.187885103042954,2179.13752094414,784.187650230908,27.015,5.462,6.576,2.4341178160224,54.75,53.02,0.013299,264.56,0.084,3.0,1.134,1.164
478.7,31.375,45.43,0.373357284657662,2663.23722679173,4634.859714406,9.725,6.608,9.032,3.24100731779688,47.8,91.12,0.059892,385.15,0.436,1.903,0.741,0.571
387.7,28.405,40.72,0.317056809179391,2577.92658762516,3780.80718273714,26.805,5.666,6.248,3.79231609027829,61.9,87.28,0.012277,372.02,0.088,1.721,1.154,0.516
319.799999999999,31.975,52.96,0.399680663661853,2871.27074467314,1649.68921897645,7.485,2.174,4.792,1.10546369794917,36.65,47.56,0.278808,486.94,1.726,1.267,0.5,0.5
797.9,31.69,46.27,0.369667609034623,2677.39785559904,3570.69913336609,30.095,7.37,4.672,3.39304675456641,55.8,92.92,0.007251,210.72,0.053,2.906,1.365,0.944
244.9,32.62,47.62,0.216364513801439,2831.45243951613,2267.04131288561,17.215,2.744,6.288,4.996850719444,61.3,85.84,0.041348,394.17,0.295,1.195,0.858,0.5
310.7,36.835,44.77,0.186412591151021,2513.8660638895,4755.07224397416,15.5,2.528,8.81599999999999,0.800568555794462,63.05,92.02,0.040689,379.56,0.297,1.664,0.862,0.5
407.3,39.415,53.68,0.101843647434174,2154.98565045411,4441.4839745964,16.795,7.676,5.232,2.91249138694741,40.0,68.8,0.043778,365.09,0.294,2.225,0.841,0.723
742.599999999999,33.355,45.85,0.183887853835877,2047.52006802117,1254.19615146969,15.43,7.91,3.84,4.29105782425728,35.65,91.36,0.020683,404.88,0.151,3.0,0.995,0.9
631.3,35.545,62.2,0.342641503389724,2798.69665082387,2943.91011679291,5.98,3.74,7.064,1.74181698098705,72.15,51.16,0.238681,428.69,1.499,2.57,0.5,0.771
237.9,36.25,48.61,0.376290529382767,2176.6909377381,994.443214637801,6.12,3.644,9.272,4.24638735391114,45.8,87.82,0.319172,404.16,2.297,1.339,0.5,0.5
395.4,35.56,57.31,0.109743246415138,2544.61812824045,618.511976154504,33.28,5.606,9.008,1.29932715467214,55.7,50.5,0.015551,221.43,0.097,1.86,1.089,0.74
263.799999999999,37.855,68.62,0.232657114981318,2003.59865848419,1280.84118731333,7.065,2.918,5.064,3.09749660862364,57.4,45.64,0.413624,436.28,2.54,1.881,0.5,0.564
322.6,36.76,69.55,0.108366456985889,2832.14085702038,555.29843667404,26.595,7.136,4.504,4.96405902504098,47.5,96.4,0.014525,203.42,0.108,1.726,1.109,0.518
297.4,27.73,58.06,0.140476730683301,2469.96322253944,3068.01247538871,36.22,5.39,3.64,4.58556506532664,48.75,98.8,0.00716,193.11,0.053,1.421,1.37,0.856
592.099999999999,37.45,69.37,0.112136609240368,2694.11483682473,1875.17201300297,37.2,3.512,2.112,4.60844603619281,80.1,55.24,0.009071,285.56,0.058,3.0,1.256,1.37
693.599999999999,27.76,40.45,0.171747012788728,2181.11347352124,2324.22892423801,9.305,4.91,8.136,4.02837876696452,68.15,86.74,0.049084,377.11,0.352,3.0,0.806,0.9
780.4,38.125,51.7,0.156113962456365,2259.09717649377,1467.53817341226,13.365,3.296,3.208,3.73802928845026,56.5,78.82,0.033824,325.38,0.236,3.0,0.908,0.9
712.5,33.085,43.3,0.314188500031654,2255.55680126245,3743.91921414152,36.885,4.292,8.84799999999999,0.530454866411958,75.0,68.5,0.0073,226.5,0.049,3.0,1.362,1.231
336.6,33.145,66.16,0.135525722404937,2314.83598012051,2915.26756115801,14.625,4.826,8.208,3.79620557987601,67.95,75.64,0.051042,422.84,0.352,1.92,0.794,0.576
404.5,39.13,44.8,0.222233637606511,2243.37015870025,1633.28148659845,38.915,2.336,4.464,2.92654718690175,65.3,56.38,0.011619,228.0,0.074,2.169,1.168,0.812
565.5,31.27,61.09,0.147940123258748,2493.18812115972,3495.43457136145,31.04,7.928,2.824,4.13982159063934,69.85,98.92,0.006216,190.82,0.046,2.562,1.427,1.543
370.9,35.65,68.74,0.228548376933402,2056.08849250205,2834.00717834946,25.055,5.33,2.808,2.5694670031748,76.25,68.98,0.020776,390.7,0.14,2.483,0.995,0.805
261.7,25.75,41.71,0.118423276470908,2435.70096913146,3984.56118218885,19.07,2.486,6.504,1.47072549404675,65.65,82.3,0.02923,394.22,0.206,1.396,0.938,0.5
753.099999999999,39.925,69.46,0.24209188513738,2809.11323804584,3452.28414968561,33.245,2.228,6.4,2.81568813833732,49.25,61.06,0.009923,227.2,0.065,3.0,1.205,1.309
303.0,37.315,55.87,0.272763555162719,2372.09444296075,3003.40771908292,19.805,6.89,8.672,1.03254965099743,47.45,59.56,0.043853,426.71,0.285,1.544,0.841,0.559
300.2,26.575,64.06,0.298995263697296,2341.47347177078,1819.44686122337,14.8,7.172,2.36,3.69408817970948,75.55,87.7599999999999,0.038718,369.64,0.279,1.555,0.875,0.5
314.9,28.48,48.64,0.301429975222808,2686.57161268947,1877.53330726537,12.91,3.038,4.96,1.15132436613066,57.3,76.78,0.059662,390.85,0.413,1.337,0.742,0.5
186.8,30.4,66.64,0.383116200360238,2251.3850977286,1643.20202956953,5.14,7.286,2.664,4.47676253071001,36.3,85.12,0.523192,282.79,3.729,1.124,0.5,0.5
115.4,39.865,62.92,0.154541824649618,2104.90756647392,822.507083150731,21.03,7.616,6.456,3.91679753642507,60.05,97.3,0.051167,212.77,0.38,0.935,0.793,0.5
653.699999999999,39.565,66.4,0.275219501646823,2470.01215447469,4165.39052975947,11.195,5.174,2.776,3.3471483560015,63.55,81.64,0.051224,392.28,0.361,3.0,0.793,0.9
189.6,35.26,52.57,0.336746085566051,2024.45606998421,4387.35795290009,9.795,2.63,3.832,3.49917456994381,71.2,48.7,0.2775,399.04,1.725,1.183,0.5,0.5
199.4,25.855,40.3,0.209681957760115,2490.45565675278,2666.24268826448,13.19,2.624,2.176,1.4527092392094,63.8,67.24,0.098598,384.33,0.659,1.141,0.508,0.5
677.5,39.97,41.8,0.223012938336465,2994.36097389694,521.345662386319,32.405,3.374,9.928,2.26817975434439,66.0,67.66,0.008914,251.85,0.06,2.662,1.265,1.1
427.6,29.515,47.71,0.322123376556373,2404.32004960103,4878.88656233665,5.105,3.158,8.68799999999999,2.33713516734719,80.45,60.34,0.350798,468.69,2.283,1.867,0.5,0.56
589.3,31.675,59.8,0.194496994184496,2279.79579266943,3096.99948030762,6.33,2.6,7.448,4.9062046161928,81.6,45.76,0.219264,374.22,1.347,2.815,0.5,0.844
321.9,32.155,67.33,0.101204563928558,2438.70624222715,4213.02269052165,31.11,3.032,8.984,1.59956403926522,57.35,80.74,0.012737,398.33,0.089,1.812,1.145,0.544
317.0,37.3,52.54,0.16563415617276,2282.37558295264,3551.68878991769,15.465,2.288,4.31199999999999,3.91121488373485,79.1,43.18,0.080476,488.33,0.489,1.709,0.617,0.608
489.9,33.745,60.49,0.137652979748622,2756.62007275592,4902.54042449196,21.135,7.838,6.784,0.736091876872083,84.15,83.9799999999999,0.018039,400.01,0.128,2.087,1.039,0.626
127.3,38.08,41.26,0.231406007060355,2147.50267902322,1064.45247017373,16.62,6.344,3.784,3.46176313700369,49.2,42.4,0.163784,292.02,0.993,1.194,0.5,0.5
685.199999999999,28.495,67.5099999999999,0.126293368946389,2133.3376151714,2986.00416094793,14.765,2.348,8.728,1.39763099225096,77.3,87.16,0.022393,349.19,0.161,3.0,0.984,0.9
